Movie,LeadStudio,RottenTomatoes,AudienceScore,Story,Genre,TheatersOpenWeek,BOAverageOpenWeek,DomesticGross,ForeignGross,WorldGross,Budget,Profitability,OpeningWeekend
Insidious,Sony,67,65,Monster Force,Horror,2408,5511,54.01,43.00,97.009,1.5,64.67266667,13.27
Paranormal Activity 3,Independent,68,58,Monster Force,Horror,3321,15829,103.66,98.24,201.897,5,40.3794,52.57
Bad Teacher,Independent,44,38,Comedy,Comedy,3049,10365,100.29,115.90,216.196,20,10.8098,31.60
Harry Potter and the Deathly Hallows Part 2,Warner Bros,96,92,Rivalry,Fantasy,4375,38672,381.01,947.10,1328.111,125,10.624888,169.19
Bridesmaids,Relativity Media,90,77,Rivalry,Comedy,2918,8995,169.11,119.28,288.382,32.5,8.873292308,26.25
Midnight in Paris,Sony,93,84,Love,Romance,944,6177,56.18,83.00,139.177,17,8.186882353,5.83
The Help,DreamWorks Pictures,75,91,Maturation,Drama,2534,10278,169.22,30.10,199.324,25,7.97296,26.04
The Hangover Part II,Legendary Pictures,35,58,Comedy,Comedy,3615,23775,254.46,327.00,581.464,80,7.2683,85.95
Another Earth,Independent,63,74,Temptation,Fantasy,,,1.32,,1.321,0.2,6.605,0.08
Limitless,Virgin,69,73,Wretched Excess,Thriller,2756,6860,79.25,82.60,161.849,27,5.994407407,18.91
Horrible Bosses,Warner Bros,69,72,Revenge,Comedy,3040,9310,117.54,92.10,209.638,35,5.989657143,28.30
No Strings Attached,Spyglass Entertainment,49,57,Comedy,Comedy,3018,6512,70.60,77.10,147.7,25,5.908,19.70
Twilight: Breaking Dawn,Independent,26,68,Love,Romance,4061,34012,260.80,374.00,634.8,110,5.770909091,138.12
Transformers: Dark of the Moon,DreamWorks Pictures,35,67,Quest,Action,4088,23937,352.39,770.81,1123.195,195,5.759974359,97.85
Gnomeo and Juliet,Disney,56,52,Love,Animation,2994,8469,99.97,94.00,193.967,36,5.387972222,25.36
Rio,20th Century Fox,71,73,Quest,Animation,3826,10252,143.62,341.02,484.634,90,5.384822222,39.23
Super 8 ,Paramount,82,78,Monster Force,Horror,3379,10492,127.00,132.71,259.713,50,5.19426,35.45
Rise of the Planet of the Apes,20th Century Fox,83,87,Revenge,Action,3648,15024,176.70,304.52,481.226,93,5.174473118,54.81
Apollo 18,Weinstein Company,23,31,Monster Force,Horror,3328,2615,17.69,7.88,25.562,5,5.1124,8.70
The Smurfs,Sony Pictures Animation,23,50,Fish Out Of Water,Animation,3395,10489,142.61,419.54,562.158,110,5.110527273,35.61
Fast Five,Universal,78,83,Escape,Action,3644,23655,209.83,416.30,626.13,125,5.00904,
Our Idiot Brother,The Weinstein Company,68,79,Comedy,Comedy,2555,2744,24.82,,24.816,5,4.9632,
50/50,Independent,93,93,Discovery,Comedy,2458,3517,34.90,1.62,36.511,8,4.563875,8.64
Drive,Independent,93,79,Rivalry,Thriller,2886,3929,34.68,32.33,67.007,15,4.467133333,11.34
Beginners,Independent,84,80,Love,Comedy,,,5.79,8.39,14.182,3.2,4.431875,0.14
Kung Fu Panda 2,DreamWorks Animation,82,80,Rivalry,Animation,3925,12142,165.25,497.78,663.024,150,4.42016,47.66
Unknown,Independent,55,57,The Riddle,Thriller,3043,7183,63.69,67.10,130.786,30,4.359533333,21.86
The Ides of March,Columbia,85,76,Transformation,Thriller,2199,4761,40.49,13.70,54.194,12.5,4.33552,10.47
Friends With Benefits,Warner Bros,71,68,Temptation,Romance,2926,6364,55.80,93.74,149.541,35,4.2726,18.62
"Pirates of the Caribbean:
On Stranger Tides",Disney,34,61,Quest,Action,4155,21697,241.07,802.80,1043.871,250,4.175484,90.15
Final Destination 5,New Line Cinema,61,56,Monster Force,Horror,3155,5715,42.59,115.30,157.887,40,3.947175,18.03
Source Code,Summit Entertainment,92,81,The Riddle,Thriller,2961,5002,54.71,68.57,123.278,32,3.8524375,14.81
Mission Impossible,Paramount,93,86,Pursuit,Action,3448,8672,197.80,336.70,534.5,145,3.686206897,29.55
One Day,Independent,37,54,Love,Romance,1719,2955,13.84,41.40,55.241,15,3.682733333,5.08
Sanctum,Relativity Media,30,39,Quest,Action,2787,3390,23.20,85.40,108.6,30,3.62,9.40
Sherlock Holmes 2,Warner Bros,60,79,Pursuit,Action,3703,10704,179.04,261.00,440.04,125,3.52032,39.63
Johnny English Reborn,Relativity Media,38,55,Comedy,Comedy,1552,2470,8.31,149.63,157.939,45,3.509755556,3.83
Diary of a Wimpy Kid 2: Rodrick Rules,20th Century Fox,47,63,Comedy,Comedy,3167,7500,52.70,19.72,72.416,21,3.448380952,23.75
Mr. Popper's Penguins,20th Century Fox,47,54,Discovery,Comedy,3339,5524,68.22,119.14,187.355,55,3.406454545,18.45
In Time,Regency Enterprises,38,55,The Riddle,Thriller,3122,3860,36.49,90.90,127.393,40,3.184825,12.05
Water For Elephants,20th Century Fox,60,72,Love,Drama,2817,5979,58.71,58.39,117.094,38,3.081421053,16.84
Battle: Los Angeles,Relativity Media,35,50,Monster Force,Action,3417,10411,83.55,128.27,211.818,70,3.025971429,35.57
Thor,Disney,77,80,Monster Force,Action,3955,16618,181.03,267.48,448.512,150,2.99008,65.72
Hop,Relativity Media,26,50,Fish Out Of Water,Animation,3579,10490,108.09,75.87,183.953,63,2.919888889,37.54
"Crazy, Stupid, Love",Warner Bros,78,81,Discovery,Romance,3020,6326,84.34,58.50,142.841,50,2.85682,19.10
Cars 2,Pixar,38,56,Fish Out Of Water,Animation,4115,16072,191.45,360.40,551.85,200,2.75925,66.14
Spy Kids: All The Time in the World,Weinstein Company,22,40,Quest,Action,3295,3534,38.54,35.54,74.08,27,2.743703704,11.64
Just Go With It,Happy Madison,19,63,Comedy,Romance,3548,8601,103.03,111.92,214.945,80,2.6868125,30.51
Captain America: The First Avenger,Disney,78,75,Metamorphosis,Action,3715,17512,176.65,191.75,368.404,140,2.631457143,65.06
The Rite,Warner Bros,20,43,Monster Force,Horror,2985,4955,33.00,63.00,96,37,2.594594595,14.80
Footloose,Spyglass Entertainment,71,71,Transformation,Drama,3549,4383,51.16,10.90,62.053,24,2.585541667,15.56
The Adjustment Bureau,Independent,72,67,Sacrifice,Thriller,2840,7450,62.50,65.37,127.868,50.2,2.547171315,21.16
Margin Call,Independent,86,73,Sacrifice,Thriller,,,4.94,3.93,8.869,3.5,2.534,0.56
The Roommate,Independent,4,29,Monster Force,Horror,2534,5921,37.30,3.19,40.492,16,2.53075,15.00
Soul Surfer,Sony,46,79,Underdog,Drama,2214,4789,43.85,0.41,44.267,18,2.459277778,10.60
Real Steel,DreamWorks Pictures,58,81,Underdog,Action,3440,7942,83.61,186.20,269.811,110,2.452827273,27.32
Paul,Relativity,72,70,Comedy,Comedy,2802,4655,37.41,60.57,97.983,40,2.449575,13.04
Immortals,Relativity Media,36,59,Revenge,Action,3112,10349,80.49,102.00,182.485,75,2.433133333,32.21
Scream 4,Weinstein Company,58,57,Monster Force,Horror,3305,5656,38.18,58.96,97.137,40,2.428425,18.69
I Am Number Four,Paramount,32,57,Maturation,Thriller,3154,6167,55.10,89.40,144.5,60,2.408333333,19.45
Dolphin Tale,Independent,84,81,Quest,Drama,3507,5461,71.08,16.86,87.947,37,2.376945946,19.15
Abduction,Vertigo Entertainment,4,46,Maturation,Action,3118,3504,28.07,54.00,82.069,35,2.344828571,10.93
Hall Pass,Warner Bros,35,44,Temptation,Comedy,2950,4588,45.06,38.10,83.16,36,2.31,13.54
Season Of The Witch,Relativity ,10,32,Monster Force,Action,2816,3769,24.80,66.80,91.6,40,2.29,10.60
The Debt,Universal,76,70,Pursuit,Thriller,1826,5427,31.18,14.25,45.429,20,2.27145,9.91
Contagion,Warner Bros,84,63,The Riddle,Thriller,3222,6935,75.64,59.80,135.443,60,2.257383333,22.40
X-Men: First Class,Disney,87,88,Monster Force,Action,3641,15134,146.41,207.22,353.623,160,2.21014375,55.10
Puss In Boots,DreamWorks,83,76,Quest,Animation,3952,8623,142.09,142.30,284.386,130,2.187584615,34.08
Zookeeper,Happy Madison Productions,14,42,Comedy,Comedy,3482,5763,80.36,89.94,170.301,80,2.1287625,20.07
Hanna,Universal,71,67,Quest,Action,2535,4880,40.26,23.52,63.781,30,2.126033333,12.37
Red Riding Hood,Warner Bros,11,41,Monster Force,Horror,3030,4622,37.66,51.50,89.162,42,2.122904762,14.01
Moneyball,Columbia,95,89,Underdog,Drama,2993,6516,74.21,27.90,102.109,50,2.04218,19.50
Monte Carlo,20th Century Fox,38,50,Love,Romance,2473,3014,23.18,16.48,39.664,20,1.9832,7.45
The Green Hornet,Columbia,44,47,Rivalry,Action,3584,9335,98.80,129.00,227.8,120,1.898333333,33.50
The Lincoln Lawyer,Lionsgate,84,82,Fish Out Of Water,Drama,2707,4879,58.01,17.00,75.009,40,1.875225,13.21
Rango,Paramount,88,69,Fish Out Of Water,Animation,3917,9722,123.26,121.90,245.154,135,1.815955556,38.08
A Very Harold and Kumar Christmas,Lionsgate,72,71,Comedy,Comedy,2875,4506,34.04,,34.044,19,1.791789474,12.95
The Three Musketeers,Independent,24,48,Rivalry,Action,3017,2875,20.25,111.90,132.147,75,1.76196,8.67
Larry Crowne,Universal,34,46,Discovery,Drama,2973,4405,35.61,16.80,52.408,30,1.746933333,13.10
Something Borrowed,Independent,,,Love,Romance,2904,4802,39.05,21.14,60.183,35,1.719514286,13.95
The Tree Of Life,Independent,84,61,Discovery,Drama,4,93230,13.30,41.00,54.303,32,1.69696875,0.37
Beastly,CBS Films,19,50,Metamorphosis,Romance,1952,5047,27.87,0.97,28.833,17,1.696058824,9.85
Tower Heist,Relativity,68,61,Revenge,Comedy,3367,7135,74.50,47.00,121.504,75,1.620053333,24.03
The Muppets,Disney,97,87,Quest,Comedy,3440,8500,66.63,5.80,72.426,45,1.609466667,29.24
Shark Night 3D,Relativity,16,25,Escape,Horror,2806,2995,18.88,19.83,38.702,25,1.54808,8.40
Colombiana,Sony,28,55,Revenge,Action,2614,3982,36.67,24.30,60.965,40,1.524125,10.41
What's Your Number,20th Century Fox,24,50,Transformation,Comedy,3002,1806,14.01,16.42,30.426,20,1.5213,5.42
30 Minutes or Less,Independent,43,48,Comedy,Comedy,2888,4616,37.05,3.49,40.546,28,1.448071429,13.33
The Change Up,Relativity Media,24,53,Metamorphosis,Comedy,2913,4645,37.08,33.75,70.833,52,1.362173077,13.53
Priest,Sony,17,37,Monster Force,Action,2864,5221,29.14,49.17,78.308,60,1.305133333,14.95
The Mechanic,Independent,53,52,Revenge,Action,2703,4226,29.20,22.00,51.2,40,1.28,11.40
Don't Be Afraid Of The Dark,Miramax Films,59,37,Monster Force,Horror,2760,3089,24.05,7.50,31.546,25,1.26184,8.53
Fright Night,DreamWorks,75,68,Rivalry,Horror,3114,2477,18.30,18.80,37.102,30,1.236733333,7.71
The Descendants,20th Century Fox,89,88,Discovery,Drama,29,41038,24.54,,24.541,20,1.22705,4.38
Arthur,Warner Bros,26,49,Sacrifice,Comedy,3276,3731,33.04,12.70,45.735,40,1.143375,12.22
Winnie The Pooh,Disney,91,79,Quest,Animation,2405,3267,26.69,6.46,33.152,30,1.105066667,7.86
Green Lantern,Warner Bros,27,48,Metamorphosis,Action,3816,13935,116.60,103.25,219.851,200,1.099255,53.17
Sucker Punch,Legendary Pictures,23,48,Quest,Action,3033,6284,36.39,53.40,89.792,82,1.09502439,19.06
The Eagle,Universal,39,43,Quest,Action,2296,3782,19.49,7.63,27.121,25,1.08484,8.68
Cowboys and Aliens,Universal,44,50,Monster Force,Action,3750,9715,100.24,74.58,174.821,163,1.072521472,36.43
Jack and Jill,Happy Madison,4,59,Comedy,Comedy,3438,7273,68.91,15.00,83.911,79,1.062164557,25.00
J.Edgar,Warner Bros,42,84,Wretched Excess,Drama,1910,5873,35.06,,35.057,35,1.001628571,11.22
The Dilemma,Spyglass Entertainment,23,31,Comedy,Comedy,2940,6060,48.50,21.20,69.7,70,0.995714286,17.80
Warrior,Lionsgate,83,93,Rivalry,Action,1869,2805,13.66,9.40,23.057,25,0.92228,5.24
My Week with Marilyn,The Weinstein Company,83,84,Love,Drama,247,7174,5.31,2.95,8.258,10,0.8258,1.75
Happy Feet 2,Village Roadshow Pictures,41,59,Journey and Return,Animation,3606,5889,57.31,49.20,106.507,135,0.788940741,21.24
Dream House,Morgan Creek Productions,7,38,The Riddle,Horror,2661,3055,21.30,17.20,38.502,50,0.77004,8.13
Killer Elite,Independent,25,48,Rivalry,Action,2986,3132,25.12,27.84,52.961,70,0.756585714,9.35
The Thing,Universal,36,52,Monster Force,Horror,2996,2835,16.93,10.50,27.428,38,0.721789474,8.49
Cedar Rapids,20th Century Fox,86,61,Maturation,Comedy,,,6.86,,6.861,10,0.6861,0.30
Drive Angry,Independent,45,38,Rescue,Action,2290,2265,10.72,18.21,28.931,45,0.642911111,5.19
Arthur Christmas,Aardman Animations,92,82,Journey and Return,Animation,3376,3537,33.70,57.50,91.203,150,0.60802,12.07
The Conspirator,Independent,56,65,Underdog,Drama,707,4960,11.54,2.67,14.211,25,0.56844,3.51
Everything Must Go,Reliance Entertainment,74,53,Discovery,Drama,,,2.71,,2.711,5,0.5422,0.79
Conan the Barbarian,Lionsgate,22,34,Quest,Action,3015,3324,21.30,27.50,48.795,90,0.542166667,10.02
Your Highness,Universal,26,36,Comedy,Comedy,2769,3380,21.60,3.26,24.856,49.9,0.498116232,9.36
The Rum Diary,Independent,50,48,Discovery,Drama,2273,2259,13.07,8.48,21.552,45,0.478933333,5.14
Anonymous,Relativity Media,46,66,Tragedy,Drama,265,3856,4.46,9.73,14.19,30,0.473,1.02
A Dangerous Method,Independent,79,89,Love,Drama,,,0.54,8.44,8.972895,20,0.44864475,0.17
The Company Men,Weinstein Company,66,55,Discovery,Drama,106,6111,4.40,0.40,4.8,15,0.32,0.64
Take Shelter,Independent,92,85,Sacrifice,Drama,,,1.57,,1.573,5,0.3146,0.05
The Beaver,Summit Entertainment,62,57,Transformation,Drama,22,4890,0.97,5.40,6.37,21,0.303333333,0.11
Take Me Home Tonight,Relativity,28,46,Discovery,Comedy,2003,1730,6.93,,6.928,25,0.27712,3.46
Red State,Independent,57,59,Escape,Horror,,,1.10,,1.104,4,0.276,
Mars Needs Moms,Disney,36,43,Rescue,Animation,3117,2218,21.39,17.60,38.992,150,0.259946667,6.91
Dylan Dog: Dead of Night,Independent,6,28,Monster Force,Horror,,,1.19,3.45,4.633,20,0.23165,0.75
The Big Year,Independent,38,62,Transformation,Comedy,2150,1513,7.17,0.24,7.41,41,0.180731707,3.25
Vanishing on 7th Street,Independent,52,62,Monster Force,Horror,,,0.02,1.05,1.067,10,0.1067,0.00
Trespass,Independent,11,24,Escape,Thriller,,,0.02,3.10,3.124,35,0.089257143,0.02
Hesher,Independent,54,68,Wretched Excess,Drama,,,0.38,,0.382,7,0.054571429,0.13
Machine Gun Preacher,Lionsgate,29,71,Transformation,Action,,,0.54,0.57,1.103,30,0.036766667,0.05
Waiting For Forever,Independent,6,53,Love,Romance,3,2972,0.03,,0.025,5,0.005,0.01
The Son Of No One,Independent,18,61,Discovery,Thriller,,,0.03,,0.03,15,0.002,0.02
Hugo,Paramount,93,84,,Adventure,1277,8899,,,,,,11.36
Jane Eyre,Universal,85,77,Love,Romance,,,11.24,18.91,30.147,,,0.18
Never Back Down 2: The Beatdown,Sony,,44,Rivalry,Action,,,,,,3,0,8.60
